2024-03-20 12:38:11.846 [restartedMain] INFO  com.mli.assetjdbc.ApiSpringBoot2Application - Starting ApiSpringBoot2Application using Java 11.0.22 on 90C30OAD3031104 with PID 13708 (D:\Users\D3031104\Desktop\asset-jbdc\target\classes started by D3031104 in D:\Users\D3031104\Desktop\asset-jbdc)
2024-03-20 12:38:11.848 [restartedMain] INFO  com.mli.assetjdbc.ApiSpringBoot2Application - No active profile set, falling back to 1 default profile: "default"
2024-03-20 12:38:11.876 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-03-20 12:38:11.876 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-03-20 12:38:12.579 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8091 (http)
2024-03-20 12:38:12.585 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8091"]
2024-03-20 12:38:12.586 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-03-20 12:38:12.586 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.76]
2024-03-20 12:38:12.629 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/practice5] - Initializing Spring embedded WebApplicationContext
2024-03-20 12:38:12.630 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 752 ms
2024-03-20 12:38:13.081 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-03-20 12:38:13.090 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8091"]
2024-03-20 12:38:13.107 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8091 (http) with context path '/practice5'
2024-03-20 12:38:13.114 [restartedMain] INFO  com.mli.assetjdbc.ApiSpringBoot2Application - Started ApiSpringBoot2Application in 1.493 seconds (JVM running for 1.824)
2024-03-20 12:38:16.385 [http-nio-8091-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/practice5] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-20 12:38:16.386 [http-nio-8091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-20 12:38:16.386 [http-nio-8091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-03-20 12:38:16.627 [http-nio-8091-exec-4] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 119 ms
2024-03-20 12:38:30.737 [http-nio-8091-exec-5] INFO  com.mli.assetjdbc.controller.AssetsController - controller, asset = { id='0', assetNumber='88', assetName='string', unitOfUse='string', user='string', creationDate='2024-03-20', value='0.0'}
2024-03-20 12:38:30.755 [http-nio-8091-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-20 12:38:30.895 [http-nio-8091-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-20 12:38:48.577 [http-nio-8091-exec-6] INFO  com.mli.assetjdbc.controller.AssetsController - controller, asset = { id='0', assetNumber='A088', assetName='string', unitOfUse='string', user='string', creationDate='2024-03-20', value='0.0'}
2024-03-20 12:39:05.111 [http-nio-8091-exec-7] INFO  com.mli.assetjdbc.controller.AssetsController - controller, asset = { id='0', assetNumber='A088', assetName='string', unitOfUse='string', user='string', creationDate='2024-03-20', value='0.0'}
