2024-03-20 11:47:32.288 [restartedMain] INFO  com.mli.assetjdbc.ApiSpringBoot2Application - Starting ApiSpringBoot2Application using Java 11.0.22 on 90C30OAD3031104 with PID 5188 (D:\Users\D3031104\Desktop\asset-jbdc\target\classes started by D3031104 in D:\Users\D3031104\Desktop\asset-jbdc)
2024-03-20 11:47:32.290 [restartedMain] INFO  com.mli.assetjdbc.ApiSpringBoot2Application - No active profile set, falling back to 1 default profile: "default"
2024-03-20 11:47:32.320 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-03-20 11:47:32.321 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-03-20 11:47:33.020 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8091 (http)
2024-03-20 11:47:33.026 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8091"]
2024-03-20 11:47:33.026 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-03-20 11:47:33.027 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.76]
2024-03-20 11:47:33.069 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/practice5] - Initializing Spring embedded WebApplicationContext
2024-03-20 11:47:33.069 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 748 ms
2024-03-20 11:47:33.471 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-03-20 11:47:33.479 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8091"]
2024-03-20 11:47:33.498 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8091 (http) with context path '/practice5'
2024-03-20 11:47:33.507 [restartedMain] INFO  com.mli.assetjdbc.ApiSpringBoot2Application - Started ApiSpringBoot2Application in 1.438 seconds (JVM running for 1.763)
2024-03-20 11:47:38.601 [http-nio-8091-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/practice5] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-20 11:47:38.602 [http-nio-8091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-20 11:47:38.603 [http-nio-8091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-03-20 11:47:38.618 [http-nio-8091-exec-1] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:47:38.629 [http-nio-8091-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-20 11:47:38.771 [http-nio-8091-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-20 11:47:38.781 [http-nio-8091-exec-1] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:47:44.296 [http-nio-8091-exec-3] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:47:44.297 [http-nio-8091-exec-3] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:47:44.928 [http-nio-8091-exec-5] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:47:44.928 [http-nio-8091-exec-5] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:47:45.451 [http-nio-8091-exec-4] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:47:45.452 [http-nio-8091-exec-4] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:47:46.402 [http-nio-8091-exec-6] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:47:46.403 [http-nio-8091-exec-6] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:47:47.038 [http-nio-8091-exec-7] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:47:47.038 [http-nio-8091-exec-7] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:47:47.618 [http-nio-8091-exec-8] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:47:47.619 [http-nio-8091-exec-8] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:48:06.442 [http-nio-8091-exec-9] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:48:06.443 [http-nio-8091-exec-9] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
2024-03-20 11:48:07.198 [http-nio-8091-exec-10] INFO  com.mli.assetjdbc.controller.AssetsController - 資產編號：null
2024-03-20 11:48:07.199 [http-nio-8091-exec-10] INFO  com.mli.assetjdbc.controller.AssetsController - 資產：null
